rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,category,aesthetic_score,is_disruptive,phase
3,Not Much Scent...,"[[VIDEOID:73b249dcdf678ad402a99764551a434d]] When you open the box, you see 18 magical pieces and think this is excellent. Unfortunately, they are super perfume scented, but the perfume goes away in just a moment of two in the bath. I used 2 in one bath and was disappointed that the scent didn't linger for much longer than it did. Especially since the description specifies that it would be great for sinuses! These are more for children who don't enjoy the spa setting as much and just want colorful tubs.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61qrWY8PBVL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61qrWY8PBVL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61qrWY8PBVL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/719kcytv8hL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/719kcytv8hL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/719kcytv8hL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B089R7S73D,B089R7S73D,AE23ZBUF2YVBQPH2NN6F5XSA3QYQ,2020-08-27 20:13:24.579,0,False,All Beauty,0.4665544431,False,Utilitarian
3,A Little Itchy,The concept behind these hair ties  are great but they are itchy if you wear them on your wrist. As far as stretch goes though they do well for a couple of wears. I found them to be a lot looser after a week. Cute but not the best.,[],B081D2R47W,B081D2R47W,AE23ZBUF2YVBQPH2NN6F5XSA3QYQ,2020-09-14 12:27:38.543,0,False,All Beauty,0.46438809140000004,False,Utilitarian
3,Shine or Grease?,"I'm slightly indifferent to this shampoo. We use argan oil shampoo often but this one is hit or miss. It makes my hair more greasy than shiny while it works great for my husbands. It does lather pretty well and the bottle is large, but it just didn't cut it for mine. I have thick hair and what we thought was the extra shine left a layer of grease on my brush the next day. Not typical for my hair and my wash schedule.",[],B087ZQK2G8,B087ZQK2G8,AE23ZBUF2YVBQPH2NN6F5XSA3QYQ,2020-09-14 16:29:20.642,0,False,All Beauty,0.4259171372,False,Utilitarian
4,Spa Day!!!,"[[VIDEOID:f054bc1ef56dd4b625a57cf8672d7c56]] This has EVERYTHING I need to clean up in the evening or have a spa day at home. Plenty of face masks, plenty of eye masks and it even comes with a cute lip collagen mask. The face scrubber is soft and I love freezing the eye mask and wearing it in the tub. You can wear it warm or cold. The whole kit would be great for a birthday gift or wedding shower gift since it is neatly packaged.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81aosMJ5wrL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81aosMJ5wrL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81aosMJ5wrL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B08BF4BKKM,B08BF4BKKM,AE23ZBUF2YVBQPH2NN6F5XSA3QYQ,2020-09-26 00:16:18.337,1,False,All Beauty,0.6017020766,True,Congruence
5,Love the Turban,"I'm such a lazy beauty enthusiast. I soak in the tub using luxurious bath bombs, spend hours playing with hair products, yet still wrap my hair up every night even though I have two blow dryers and a hand full of hair dryer brushes. I still just prefer to leave my hair wrapped up until bed and deal with the messy curly consequences the next morning. This is by far the BEST hair wraps I've ever used. It is made if microfiber and is soft as blankets. The turban is great for just throwing your hair in there, while the hair towel wraps up nicely and has a good button and band on it to hold it in place. The two hair ties are nice, but not needed. Still useful though! The towels themselves absorb all of the water and hold it in place. So, once you take the towels off, they are soaked for hours, unlike your hair. These are by far the best hair towels I've ever left in my hair for hours at a time.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71bvGg18JLL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71bvGg18JLL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71bvGg18JLL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B0841WQNNZ,B0841WQNNZ,AE23ZBUF2YVBQPH2NN6F5XSA3QYQ,2020-11-05 03:02:16.317,0,False,All Beauty,0.5681657867000001,False,Congruence
4,No more chapped lips!,"Moisturizing and flavorful at the same time! I swear we go through chapstick like no tomorrow here. The tubes are the usual size and with a large pack, come in handy for keeping around the house and cars. These would also be great for stocking stuffers for the holidays! The flavors are strongly scented, but mild enough to not pick away if the taste were stronger. Overall, these are a great pick for an affordable yet well protected chapstick.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81AIISmnzFL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81AIISmnzFL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81AIISmnzFL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B08G5YVHQP,B08G5YVHQP,AE23ZBUF2YVBQPH2NN6F5XSA3QYQ,2020-11-12 02:20:12.884,0,False,All Beauty,0.5573572916,False,Congruence
5,Mess Contained in a Nifty Storage Box,"This is one of the best gifts you could get for young ones who are in the dinosaur phase. Not only does it come with everything you need to play, you get to paint the dinosaurs too! This will keep the kids busy for a while, but they will love it.<br /><br />The dinosaurs are not too small and can be easily painted by 4 year olds. May not be the prettiest, but its about being creative. The mat is the perfect size and the paints are easy to clean up. They are washable so the hands can be cleaned up after. It comes with the paints and brushes, so no need to buy some. It also folds into a storage box, which is excellent for keeping the mess contained. You want to fold the velcro in, not out. But it works both ways. One way just wouldn't have handles.<br /><br />Both educational and creative, the kiddos will go crazy for this.",[],B08GS19PM7,B08GS19PM7,AE23ZBUF2YVBQPH2NN6F5XSA3QYQ,2020-12-11 23:45:19.194,0,False,All Beauty,0.4564213359,False,Congruence
4,Beauty Pageant Curls,"I was a bit nervous to use this at first because something that automatically twists hair makes me think it will twist my hair and get knotted and then I will have to cut off my hair.<br /><br />I was pleasantly surprised.<br /><br />Its really easy to use after a bit of trial and error. Once you understand the twirling left and right (depending in which direction you want your curls), you'll be on your way to curls that look right out of a beauty pageant. I don't say that in a negative way. They are very beautifully curled. Little girls would love having these curls.<br /><br />You can curl them and then brush them out a bit to give them a more natural look. The two barrels are easily interchangeable so you can do large curls and small curls. I have very thick hair and found these to be fun to wear without needing that hair cut. I'll be keeping this one around for date nights.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/91UWA1BSjpL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/91UWA1BSjpL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/91UWA1BSjpL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B08LPC1G23,B08LPC1G23,AE23ZBUF2YVBQPH2NN6F5XSA3QYQ,2020-12-19 14:08:30.997,0,False,All Beauty,0.6105380468,True,Congruence
4,Great Quality for a Cheaper Price,"At the price of $20 (at the time of review), these lashes get a 4/5 stars for the quality, quantity, and price.<br /><br />Pros<br />-Cute carrying case for travel.<br />-Good variety and style of lashes<br />-Strong grip<br />-Strong black color<br />-Short and small styles<br />-Stay on until makeup remover is used<br /><br />Cons<br />-If you like thick lashes, these are not for you.<br />-Smudges a bit<br />-",[],B08NTD1NM1,B08NTD1NM1,AE23ZBUF2YVBQPH2NN6F5XSA3QYQ,2021-01-30 21:41:42.251,0,False,All Beauty,0.5932459017,False,Congruence
5,Non-Toxic and Fun for Hours!,"This is a favorite for the little girls. They think that they are one of us adults because they get to paint their nails and stick them under the dryer just like us. This actually gets a 5/5 for me given that it comes with a lot of stuff, easy to open packaging, and is a good price.<br /><br />The nail polish wins for the adults because it is non-toxic and easy to remove. It comes with so many options for nail colors, stickers, and the dryer. You definitely want 2AA batteries handy for the dryer. It doesn't come with them. For the price though, this really will be a hit for your kids!",[],B08CVTNQP1,B08CVTNQP1,AE23ZBUF2YVBQPH2NN6F5XSA3QYQ,2021-01-30 22:25:29.856,0,False,All Beauty,0.5797902095,False,Congruence
